"All outward forms of religion are almost useless, and are the causes of endless strife. Believe there is a great power silently working all things for good, behave yourself and never mind the rest.",Beatrix Potter,Religion
"Nothing defines humans better than their willingness to do irrational things in the pursuit of phenomenally unlikely payoffs. This is the principle behind lotteries, dating, and religion.",Scott Adams,Religion
The NHS is the closest thing the English have to a religion.,Nigel Lawson,Religion
"As with the Christian religion, the worst advertisement for Socialism is its adherents.",George Orwell,Religion
"I cannot adequately express the horror I feel for a man who can be so base as to veil his hypocrisy under the cloak of religion, and state the base falsehood he has done.",James K. Polk,Religion
"I'm literally fighting for the equality of every man, woman and child regardless of race, religion, color, creed, and sexual orientation and here to spread a message of peace, love, and positivity.",Logic,Religion
"People tell you the world looks a certain way. Parents tell you how to think. Schools tell you how to think. TV. Religion. And then at a certain point, if you're lucky, you realize you can make up your own mind. Nobody sets the rules but you. You can design your own life.",Carrie-Anne Moss,Religion
I consider myself a religious person. God is something very personal with me and I don't flaunt religion in conversation with others.,Richard Chamberlain,Religion
"Chess is a game where all different sorts of people can come together, not a game in which people are divided because of their religion or country of origin.",Hikaru Nakamura,Religion
The marvel of the Bhagavad-Gita is its truly beautiful revelation of life's wisdom which enables philosophy to blossom into religion.,Hermann Hesse,Religion
"Music is one of the most powerful things the world has to offer. No matter what race or religion or nationality or sexual orientation or gender that you are, it has the power to unite us.",Lady Gaga,Religion
"Sadly, in the highest levels of economic thought in government, questions are not tolerated. It is as if we're dealing with the binary thinking of a fundamentalist religion.",Michael Burry,Religion
"Too often, customary practices and discrimination on the basis of gender, ethnicity, race, religion, social status, or class are the root sources of pervasive inequality in many countries.",Said Musa,Religion
"Do not neglect secret prayer, for it is the soul of religion.",Ellen G. White,Religion
Superstition is the religion of feeble minds.,Edmund Burke,Religion
Love is my religion - I could die for it.,John Keats,Religion
"The difference between a cult and a religion, of course, lies in extremity.",Benjamin Wittes,Religion
"Religion is meant to teach us true spiritual human character. It is meant for self-transformation. It is meant to transform anxiety into peace, arrogance into humility, envy into compassion, to awaken the pure soul in man and his love for the Source, which is God.",Radhanath Swami,Religion
"Civility is the recognition that all people have dignity that's inherent to their person, no matter their religion, race, gender, sexuality, or ability.",Opal Tometi,Religion
Religion is the frozen thought of man out of which they build temples.,Jiddu Krishnamurti,Religion
"I've never had any religion. I'd prefer it if I did, really. Even as a boy I just couldn't make myself believe.",David Gilmour,Religion
"Just in terms of allocation of time resources, religion is not very efficient. There's a lot more I could be doing on a Sunday morning.",Bill Gates,Religion
"I wasn't brought up with any religion at all. At school and in my early 20s, I read every religious text I could get my hands on - Buddhist scriptures, Hindu texts, the Qur'an, and the Bible. I wanted to feel like something made sense to me, that there was something sacred I could feel aligned with.",Jennifer Connelly,Religion
"I did study religion for a little while. I studied the Torah and the Holy Koran, Helios Biblos, which is considered by most people to be the Holy Bible. I just wanted to know, even with Buddhism and the Dalai Llama.",Kevin Gates,Religion
"The true meaning of religion is thus, not simply morality, but morality touched by emotion.",Matthew Arnold,Religion
"If religion were true, its followers would not try to bludgeon their young into an artificial conformity; but would merely insist on their unbending quest for truth, irrespective of artificial backgrounds or practical consequences.",H. P. Lovecraft,Religion
"I believe in having a more open mind and including others who don't share your faith and having dialogue with them. And just having a pure heart and being a good person can bring you closer to God. Because once you believe in one particular religion fully and not others, that requires you to start disliking people who don't share your views.",Ishmael Beah,Religion
The separation of church and state was meant to protect church from state; a state that declares religion off limits in public life is a state that declares itself supreme over all religious values.,Ben Shapiro,Religion
"I am an atheist, and I believe that religion should not be in the classrooms; it has to be in the churches. In the classrooms, you have to form citizenship, not people with religious beliefs, that corresponds to the private sphere.",Pedro Sanchez,Religion
"I think that religion is incredibly cruel, and I think that my biggest problem with being vegetarian, usually, is other vegetarians.",Devin Townsend,Religion
"If faith is lost, there is no security and there is no life for him who does not adhere to religion.",Muhammad Iqbal,Religion
"Just as 'Islam' literally means 'peace,' none of the 99 names of Allah mean violence. Similarly, every religion in the world stands for peace, compassion, and brotherhood.",Sushma Swaraj,Religion
"Religion can be the enemy of God. It's often what happens when God, like Elvis, has left the building.",Bono,Religion
My whole life has been movies and religion. That's it. Nothing else.,Martin Scorsese,Religion
"I'm against any religion, and Communism and Nazism - they're both equally religions. They're just replacement gods.",Lemmy,Religion
God save us from religion.,David Icke,Religion
"My great religion is a belief in the blood, the flesh, as being wiser than the intellect. We can go wrong in our minds. But what our blood feels and believes and says, is always true. The intellect is only a bit and a bridle.",D. H. Lawrence,Religion
"Man seeks to learn, and man kills himself because of the loss of cohesion in his religious society; he does not kill himself because of his learning. It is certainly not the learning he acquires that disorganizes religion; but the desire for knowledge wakens because religion becomes disorganized.",Emile Durkheim,Religion
One man's cult is another man's religion.,Annie Parisse,Religion
"When a person thinks, I am a Christian, this other person is a Muslim, therefore he is my enemy, or I am a Muslim, this other person is a Hindu, therefore she is my enemy, they reveal their own lack of spiritual depth. No religion teaches this, and any understanding of any religion that adopts this divisive attitude proves itself false by doing so.",Tulsi Gabbard,Religion
"The three great elements of modern civilization, Gun powder, Printing, and the Protestant religion.",Thomas Carlyle,Religion
"After it is all over, the religion of man is his most important possession.",John D. Rockefeller,Religion
"Skeptical scrutiny is the means, in both science and religion, by which deep thoughts can be winnowed from deep nonsense.",Carl Sagan,Religion
"In other words, a person who is fanatic in matters of religion, and clings to certain ideas about the nature of God and the universe, becomes a person who has no faith at all.",Alan Watts,Religion
The greatest tragedy in mankind's entire history may be the hijacking of morality by religion.,Arthur C. Clarke,Religion
"When push comes to shove, it ain't the science that's going to lift you up - it's the belief, the spiritual side of life, that's going to lift you up, no matter what religion you are.",Kirstie Alley,Religion
"Generally speaking, the errors in religion are dangerous; those in philosophy only ridiculous.",David Hume,Religion
The audience that I try to reach are members of what I call the church alumni association. Now they are people who have not found in institutional religion a God big enough to be God for their world.,John Shelby Spong,Religion
"The essence of America - that which really unites us - is not ethnicity, or nationality or religion - it is an idea - and what an idea it is: That you can come from humble circumstances and do great things.",Condoleezza Rice,Religion
In the long term we can hope that religion will change the nature of man and reduce conflict. But history is not encouraging in this respect. The bloodiest wars in history have been religious wars.,Richard M. Nixon,Religion
Religion is the last refuge of human savagery.,Alfred North Whitehead,Religion
"I cannot think that when God sent us into the world, he had irreversibly decreed that we should be perpetually miserable in it. If our taking up the Cross imply our bidding adieu to all joy and satisfaction, how is it reconcilable with what Solomon expressly affirms of religion, that 'her ways are ways of pleasantness, and all her paths are peace?'",John Wesley,Religion
"We must not confuse religion with God, or technology with science. Religion stands in relationship to God as technology does in relation to science. Both the conduct of religion and the pursuit of technology are capable of leading mankind into evil; but both can prompt great good.",Robert Winston,Religion
"Be strong, believe in freedom and in God, love yourself, understand your sexuality, have a sense of humor, masturbate, don't judge people by their religion, color or sexual habits, love life and your family.",Madonna Ciccone,Religion
"Religion was nearly dead because there was no longer real belief in future life; but something was struggling to take its place - service - social service - the ants creed, the bees creed.",John Galsworthy,Religion
"You must learn to exist with no religion, no country, no allies. You must learn to live alone in silence.",William S. Burroughs,Religion
"I don't happen to believe, by the way, that immigration policies that single people out because of religion, for instance, are fair and just.",Bob Iger,Religion
Educate men without religion and you make of them but clever devils.,Duke of Wellington,Religion
Sex is the mysticism of materialism and the only possible religion in a materialistic society.,Malcolm Muggeridge,Religion
Religion is never the problem; it's the people who use it to gain power.,Julian Casablancas,Religion
To fall in love is to create a religion that has a fallible god.,Jorge Luis Borges,Religion
So potent was religion in persuading to evil deeds.,Lucretius,Religion
I think religion played a huge part in Bush's re-election.,Tracy Chapman,Religion
"The religion of the name of the seas will triumph against the sect of the son of Adaluncatif; The obstinate, lamented sect will be fearful of the two wounded by Aleph and Aleph.",Nostradamus,Religion
"In Iran, there is no freedom of the press, no freedom of speech, no independent judiciary, no free elections. There is no freedom of religion - not even for Shiites, who are forced by Iran's theocracy to adhere to one narrow set of official rules.",Elliott Abrams,Religion
Fear of things invisible in the natural seed of that which everyone in himself calleth religion.,Thomas Hobbes,Religion
"It's not just the effect of technology on the environment, on religion, on the economic structure, on society, on politics, etc. It's that everything now exists in technology to the point where technology is the new and comprehensive host of nature of life.",Godfrey Reggio,Religion
"The truth is that killing innocent people is always wrong - and no argument or excuse, no matter how deeply believed, can ever make it right. No religion on earth condones the killing of innocent people; no faith tradition tolerates the random killing of our brothers and sisters on this earth.",Feisal Abdul Rauf,Religion
"I have an everyday religion that works for me. Love yourself first, and everything else falls into line.",Lucille Ball,Religion
